run_id,block,region,crs_strategy,workflow,extent_size,wiederholung,run_type
1040,B,zuerich,onthefly,merge_add,medium,2,hot
1041,B,zuerich,onthefly,merge_add,medium,3,hot
1042,B,zuerich,local_preprocessing,merge_add,medium,1,cold
1043,B,zuerich,local_preprocessing,merge_add,medium,2,hot
1044,B,zuerich,local_preprocessing,merge_add,medium,3,hot
1045,C_vorlauf,berlin,local_reference,merge_add,small,1,cold
1046,C_vorlauf,berlin,onthefly,merge_add,small,1,cold
1047,C_vorlauf,berlin,onthefly,merge_add,small,2,hot
1048,C_vorlauf,berlin,onthefly,merge_add,small,3,hot
1049,C_vorlauf,berlin,onthefly,merge_add,small,4,hot
1050,C_vorlauf,berlin,onthefly,merge_add,small,5,hot
