block,region,run_id,timestamp,crs_strategy,workflow,extent_size,run_type,resolution_m,dataset,queue_time,processing_time,job_execution_time,download_time,total_time,preprocessing_time,credits,cpu_seconds,input_pixels_mp,output_crs,dem_format,dem_layout,local_resampling,git_commit,mae,rmse
A1,berlin,900,2026-08-19T17:27:29.452270,local_reference,aggregation,medium,cold,10.0,dem,,,,,287.21599102020264,287.21599102020264,,,,,,,bilinear,787a4a1d702fb70aaec64425d52bbc3ace541f76,,
A1,berlin,901,2026-08-19T17:30:29.030736,onthefly,aggregation,medium,cold,10.0,dem,36.8075,130.46345,175.45015621185303,1.3791139125823975,178.20690512657166,,4.0,162.0,20.12359619140625,32633,,,,787a4a1d702fb70aaec64425d52bbc3ace541f76,1.7900161452590624,4.803679166717987
A1,berlin,902,2026-08-19T17:32:22.769312,onthefly,aggregation,medium,hot,10.0,dem,36.131454,70.99435,109.54166007041931,1.2980821132659912,112.34604382514954,,4.0,90.0,20.12359619140625,32633,,,,787a4a1d702fb70aaec64425d52bbc3ace541f76,1.7900161452590624,4.803679166717987
A1,berlin,903,2026-08-19T17:34:26.750739,onthefly,aggregation,medium,hot,10.0,dem,47.007236,69.147957,118.99064421653748,2.157865524291992,123.0055947303772,,4.0,72.0,20.12359619140625,32633,,,,787a4a1d702fb70aaec64425d52bbc3ace541f76,1.7900161452590624,4.803679166717987
A1,berlin,904,2026-08-19T17:39:19.399713,local_preprocessing,aggregation,medium,cold,10.0,dem,38.003733,126.598426,167.82405471801758,1.3166234493255615,173.00295066833496,2.2502129077911377,4.0,90.0,21.134765625,32633,gtiff,cog,bilinear,787a4a1d702fb70aaec64425d52bbc3ace541f76,0.5052104998507867,4.144350968659008
A1,berlin,905,2026-08-19T17:43:01.005764,local_preprocessing,aggregation,medium,hot,10.0,dem,60.825122,63.718166,157.53240418434143,1.331812858581543,162.46625876426697,1.9559087753295898,4.0,108.0,21.134765625,32633,gtiff,cog,bilinear,787a4a1d702fb70aaec64425d52bbc3ace541f76,0.5052104998507867,4.144350968659008
A1,berlin,906,2026-08-19T17:46:28.405012,local_preprocessing,aggregation,medium,hot,10.0,dem,47.162013,68.28732,118.61220812797546,1.786827802658081,125.5338363647461,2.223400354385376,4.0,117.0,21.134765625,32633,gtiff,cog,bilinear,787a4a1d702fb70aaec64425d52bbc3ace541f76,0.5052104998507867,4.144350968659008
A1,berlin,907,2026-08-19T17:51:19.805558,local_reference,focal,medium,cold,10.0,dem,,,,,284.9892621040344,284.9892621040344,,,,,,,bilinear,787a4a1d702fb70aaec64425d52bbc3ace541f76,,
A1,berlin,908,2026-08-19T17:54:39.438519,onthefly,focal,medium,cold,10.0,dem,57.696944,125.624706,185.95807576179504,10.745157957077026,198.25951480865479,,4.0,276.0,20.37601089477539,32633,,,,787a4a1d702fb70aaec64425d52bbc3ace541f76,0.8592217612654292,1.5583995526895809
A1,berlin,909,2026-08-19T17:57:26.715808,onthefly,focal,medium,hot,10.0,dem,26.819324,124.954751,154.65746092796326,9.40924620628357,165.3684344291687,,4.0,90.0,20.37601089477539,32633,,,,787a4a1d702fb70aaec64425d52bbc3ace541f76,0.8592217612654292,1.5583995526895809
A1,berlin,910,2026-08-19T18:00:44.229055,onthefly,focal,medium,hot,10.0,dem,36.693582,136.340018,180.91937899589539,13.929777145385742,196.12241506576538,,4.0,72.0,20.37601089477539,32633,,,,787a4a1d702fb70aaec64425d52bbc3ace541f76,0.8592217612654292,1.5583995526895809
A1,berlin,911,2026-08-19T18:04:32.263567,local_preprocessing,focal,medium,cold,10.0,dem,51.807968,63.118473,118.2368791103363,10.690586566925049,133.2344081401825,2.2600011825561523,4.0,162.0,21.395642280578613,32633,gtiff,cog,bilinear,787a4a1d702fb70aaec64425d52bbc3ace541f76,0.08485093590134259,8.340228302250377
A1,berlin,912,2026-08-19T18:08:33.349237,local_preprocessing,focal,medium,hot,10.0,dem,49.166703,63.379894,120.53785276412964,8.642054796218872,132.99675846099854,2.1961886882781982,4.0,162.0,21.395642280578613,32633,gtiff,cog,bilinear,787a4a1d702fb70aaec64425d52bbc3ace541f76,0.08485093590134259,8.340228302250377
A1,berlin,913,2026-08-19T18:13:51.030910,local_preprocessing,focal,medium,hot,10.0,dem,46.821484,139.929988,191.1843981742859,11.329092979431152,206.39948725700378,2.1829898357391357,4.0,162.0,21.395642280578613,32633,gtiff,cog,bilinear,787a4a1d702fb70aaec64425d52bbc3ace541f76,0.08485093590134259,8.340228302250377
A1,berlin,914,2026-08-19T18:18:24.405320,local_reference,resample,medium,cold,10.0,dem,,,,,258.2064633369446,258.2064633369446,,,,,,,bilinear,787a4a1d702fb70aaec64425d52bbc3ace541f76,,
A1,berlin,915,2026-08-19T18:21:37.029052,onthefly,resample,medium,cold,10.0,dem,46.897062,128.4324,177.93242025375366,11.280400276184082,190.92117953300476,,4.0,90.0,20.12359619140625,32633,,,,787a4a1d702fb70aaec64425d52bbc3ace541f76,1.0128285745781138,1.3766988649788163
A1,berlin,916,2026-08-19T18:24:34.994297,onthefly,resample,medium,hot,10.0,dem,31.733797,126.689254,161.4127607345581,13.28432321548462,175.9555401802063,,4.0,162.0,20.12359619140625,32633,,,,787a4a1d702fb70aaec64425d52bbc3ace541f76,1.0128285745781138,1.3766988649788163
A1,berlin,917,2026-08-19T18:27:33.205326,onthefly,resample,medium,hot,10.0,dem,37.313213,124.498563,165.0327024459839,10.109357118606567,176.8106348514557,,4.0,162.0,20.12359619140625,32633,,,,787a4a1d702fb70aaec64425d52bbc3ace541f76,1.0128285745781138,1.3766988649788163
A1,berlin,918,2026-08-19T18:31:29.865230,local_preprocessing,resample,medium,cold,10.0,dem,51.800252,63.100912,123.61720156669617,9.010314464569092,136.24455666542053,2.3039088249206543,4.0,108.0,21.134765625,32633,gtiff,cog,bilinear,787a4a1d702fb70aaec64425d52bbc3ace541f76,0.5368840702257995,0.7571235850760216
A1,berlin,919,2026-08-19T18:37:07.506641,local_preprocessing,resample,medium,hot,10.0,dem,46.909058,131.197389,181.4495666027069,41.433491706848145,226.74786043167114,2.2612650394439697,4.0,162.0,21.134765625,32633,gtiff,cog,bilinear,787a4a1d702fb70aaec64425d52bbc3ace541f76,0.5368840702257995,0.7571235850760216
A1,berlin,920,2026-08-19T18:40:31.861810,local_preprocessing,resample,medium,hot,10.0,dem,46.837565,58.35347,107.93622779846191,11.523977994918823,123.24850559234619,2.264453649520874,4.0,162.0,21.134765625,32633,gtiff,cog,bilinear,787a4a1d702fb70aaec64425d52bbc3ace541f76,0.5368840702257995,0.7571235850760216
A1,berlin,921,2026-08-19T18:45:23.290123,local_reference,filter_bbox,medium,cold,10.0,dem,,,,,277.9200539588928,277.9200539588928,,,,,,,bilinear,787a4a1d702fb70aaec64425d52bbc3ace541f76,,
A1,berlin,922,2026-08-19T18:47:35.433805,onthefly,filter_bbox,medium,cold,10.0,dem,49.162877,71.504882,123.62697625160217,4.8754212856292725,130.1392662525177,,4.0,117.0,20.12359619140625,32633,,,,787a4a1d702fb70aaec64425d52bbc3ace541f76,1.7389456332517927,2.4707268492971863
A1,berlin,923,2026-08-19T18:49:25.580227,onthefly,filter_bbox,medium,hot,10.0,dem,31.312678,61.821742,101.60697269439697,4.621212005615234,108.25125503540039,,4.0,108.0,20.12359619140625,32633,,,,787a4a1d702fb70aaec64425d52bbc3ace541f76,1.7389456332517927,2.4707268492971863
A1,berlin,924,2026-08-19T18:52:28.268624,onthefly,filter_bbox,medium,hot,10.0,dem,51.84209,119.354154,174.39863777160645,5.380622386932373,181.25466537475586,,4.0,162.0,20.12359619140625,32633,,,,787a4a1d702fb70aaec64425d52bbc3ace541f76,1.7389456332517927,2.4707268492971863
A1,berlin,925,2026-08-19T18:57:34.202859,local_preprocessing,filter_bbox,medium,cold,10.0,dem,42.150988,128.229692,175.25363111495972,11.470869779586792,190.40168642997742,2.279670476913452,4.0,162.0,20.283801078796387,32633,gtiff,cog,bilinear,787a4a1d702fb70aaec64425d52bbc3ace541f76,0.0013419522758464537,0.0018253712881244333
A1,berlin,926,2026-08-19T19:01:33.008232,local_preprocessing,filter_bbox,medium,hot,10.0,dem,51.768335,71.722534,126.9357430934906,4.605336427688599,135.1347451210022,2.1859195232391357,4.0,162.0,20.283801078796387,32633,gtiff,cog,bilinear,787a4a1d702fb70aaec64425d52bbc3ace541f76,0.0013419522758464537,0.0018253712881244333
A1,berlin,927,2026-08-19T19:05:26.620774,local_preprocessing,filter_bbox,medium,hot,10.0,dem,42.865409,63.268351,115.14283156394958,4.203397035598755,122.98873233795166,2.215235710144043,4.0,72.0,20.283801078796387,32633,gtiff,cog,bilinear,787a4a1d702fb70aaec64425d52bbc3ace541f76,0.0013419522758464537,0.0018253712881244333
A2,hamburg,930,2026-08-21T15:10:46.240050,local_reference,merge_add,medium,cold,10.0,dem,,,,,301.7603385448456,301.7603385448456,,,,,,,bilinear,787a4a1d702fb70aaec64425d52bbc3ace541f76,,
A2,hamburg,931,2026-08-21T15:14:34.913569,onthefly,merge_add,medium,cold,10.0,dem,82.743244,128.54495,218.90794968605042,7.286850452423096,227.1466462612152,,4.0,162.0,17.0343017578125,32632,,,,787a4a1d702fb70aaec64425d52bbc3ace541f76,1.1176443545999049,1.7977424194044012
A2,hamburg,932,2026-08-21T15:17:27.994580,onthefly,merge_add,medium,hot,10.0,dem,41.653093,118.322623,162.46602272987366,6.881291627883911,171.06348371505737,,4.0,162.0,17.0343017578125,32632,,,,787a4a1d702fb70aaec64425d52bbc3ace541f76,1.1176443545999049,1.7977424194044012
A2,hamburg,933,2026-08-21T15:20:32.807322,onthefly,merge_add,medium,hot,10.0,dem,41.115395,129.047522,172.59999799728394,9.615890741348267,183.46441078186035,,4.0,246.0,17.0343017578125,32632,,,,787a4a1d702fb70aaec64425d52bbc3ace541f76,1.1176443545999049,1.7977424194044012
A2,hamburg,934,2026-08-21T15:25:28.232847,local_preprocessing,merge_add,medium,cold,10.0,dem,46.526026,113.250491,166.90979743003845,13.308780431747437,185.79912853240967,2.127988815307617,4.0,162.0,17.96558380126953,32632,gtiff,cog,bilinear,787a4a1d702fb70aaec64425d52bbc3ace541f76,0.00054982592646676,0.0008539407751323178
A2,hamburg,935,2026-08-21T15:29:35.131954,local_preprocessing,merge_add,medium,hot,10.0,dem,41.353612,72.484064,121.50631356239319,7.704381704330444,132.68775177001953,2.0852015018463135,4.0,162.0,17.96558380126953,32632,gtiff,cog,bilinear,787a4a1d702fb70aaec64425d52bbc3ace541f76,0.00054982592646676,0.0008539407751323178
A2,hamburg,936,2026-08-21T15:34:31.468626,local_preprocessing,merge_add,medium,hot,10.0,dem,51.506753,123.722196,183.02729201316833,7.5602452754974365,193.9625642299652,2.1055147647857666,4.0,216.0,17.96558380126953,32632,gtiff,cog,bilinear,787a4a1d702fb70aaec64425d52bbc3ace541f76,0.00054982592646676,0.0008539407751323178
A2,hamburg,937,2026-08-21T15:38:33.798405,local_reference,subtract,medium,cold,10.0,dem,,,,,227.77556896209717,227.77556896209717,,,,,,,bilinear,787a4a1d702fb70aaec64425d52bbc3ace541f76,,
A2,hamburg,938,2026-08-21T15:41:39.310679,onthefly,subtract,medium,cold,10.0,dem,46.461538,113.196249,167.68488335609436,15.347561359405518,183.96353149414062,,4.0,276.0,17.0343017578125,32632,,,,787a4a1d702fb70aaec64425d52bbc3ace541f76,1.1176443479623788,1.7977424168788179
A2,hamburg,939,2026-08-21T15:44:40.869053,onthefly,subtract,medium,hot,10.0,dem,26.033458,139.062674,167.63401436805725,10.408657550811768,179.44396495819092,,4.0,162.0,17.0343017578125,32632,,,,787a4a1d702fb70aaec64425d52bbc3ace541f76,1.1176443479623788,1.7977424168788179
A2,hamburg,940,2026-08-21T15:47:39.124585,onthefly,subtract,medium,hot,10.0,dem,36.175278,123.287344,162.60551190376282,12.64845061302185,176.86830806732178,,4.0,198.0,17.0343017578125,32632,,,,787a4a1d702fb70aaec64425d52bbc3ace541f76,1.1176443479623788,1.7977424168788179
A2,hamburg,941,2026-08-21T15:52:31.257155,local_preprocessing,subtract,medium,cold,10.0,dem,41.409574,123.507036,172.75476264953613,10.840272665023804,186.90851283073425,2.1213810443878174,4.0,276.0,17.96558380126953,32632,gtiff,cog,bilinear,787a4a1d702fb70aaec64425d52bbc3ace541f76,0.0005498261691701691,0.0008538854855781162
A2,hamburg,942,2026-08-21T15:57:32.568052,local_preprocessing,subtract,medium,hot,10.0,dem,46.267092,118.669366,172.76106882095337,9.39819049835205,186.01383519172668,2.0984370708465576,4.0,162.0,17.96558380126953,32632,gtiff,cog,bilinear,787a4a1d702fb70aaec64425d52bbc3ace541f76,0.0005498261691701691,0.0008538854855781162
A2,hamburg,943,2026-08-21T16:01:32.706667,local_preprocessing,subtract,medium,hot,10.0,dem,62.144401,56.542095,122.0158703327179,6.68355917930603,131.86424350738525,2.1337504386901855,4.0,72.0,17.96558380126953,32632,gtiff,cog,bilinear,787a4a1d702fb70aaec64425d52bbc3ace541f76,0.0005498261691701691,0.0008538854855781162
A2,hamburg,944,2026-08-21T16:06:27.699544,local_reference,mask,medium,cold,10.0,dem,,,,,280.68551778793335,280.68551778793335,,,,,,,bilinear,787a4a1d702fb70aaec64425d52bbc3ace541f76,,
A2,hamburg,945,2026-08-21T16:08:22.750954,onthefly,mask,medium,cold,10.0,dem,35.956597,62.099979,105.94823741912842,6.312626361846924,113.46483945846558,,4.0,162.0,33.9093017578125,32632,,,,787a4a1d702fb70aaec64425d52bbc3ace541f76,1.2088138679913185,1.8412261390626745
A2,hamburg,946,2026-08-21T16:10:37.253344,onthefly,mask,medium,hot,10.0,dem,36.357816,82.344298,126.40452766418457,5.162243366241455,132.69785451889038,,4.0,162.0,33.9093017578125,32632,,,,787a4a1d702fb70aaec64425d52bbc3ace541f76,1.2088138679913185,1.8412261390626745
A2,hamburg,947,2026-08-21T16:12:24.934518,onthefly,mask,medium,hot,10.0,dem,30.807387,67.210851,100.27746939659119,4.519953727722168,106.26824474334717,,4.0,108.0,33.9093017578125,32632,,,,787a4a1d702fb70aaec64425d52bbc3ace541f76,1.2088138679913185,1.8412261390626745
A2,hamburg,948,2026-08-21T16:16:53.401731,local_preprocessing,mask,medium,cold,10.0,dem,36.276875,82.697952,126.98202466964722,11.473027467727661,141.7735254764557,2.3087408542633057,4.0,162.0,34.84058380126953,32632,gtiff,cog,bilinear,787a4a1d702fb70aaec64425d52bbc3ace541f76,0.0005939756628626276,0.0008745058957621806
A2,hamburg,949,2026-08-21T16:20:36.118213,local_preprocessing,mask,medium,hot,10.0,dem,56.384665,66.976272,125.93165016174316,11.089736938476562,140.22401189804077,2.058098554611206,4.0,162.0,34.84058380126953,32632,gtiff,cog,bilinear,787a4a1d702fb70aaec64425d52bbc3ace541f76,0.0005939756628626276,0.0008745058957621806
A2,hamburg,950,2026-08-21T16:25:37.312331,local_preprocessing,mask,medium,hot,10.0,dem,67.085435,108.106343,177.8106071949005,10.968441009521484,192.2629566192627,2.129918336868286,4.0,162.0,34.84058380126953,32632,gtiff,cog,bilinear,787a4a1d702fb70aaec64425d52bbc3ace541f76,0.0005939756628626276,0.0008745058957621806
A2,hamburg,951,2026-08-21T16:30:20.702748,local_reference,aggregation,medium,cold,10.0,dem,,,,,270.4565854072571,270.4565854072571,,,,,,,bilinear,787a4a1d702fb70aaec64425d52bbc3ace541f76,,
A2,hamburg,952,2026-08-21T16:32:41.698430,onthefly,aggregation,medium,cold,10.0,dem,46.591706,87.491081,136.75779676437378,1.834564208984375,139.87767267227173,,4.0,78.0,17.0343017578125,32632,,,,787a4a1d702fb70aaec64425d52bbc3ace541f76,2.487782530195091,53.757912657797156
A2,hamburg,953,2026-08-21T16:35:24.095892,onthefly,aggregation,medium,hot,10.0,dem,31.280686,124.309598,157.90430760383606,1.63254976272583,160.86101055145264,,4.0,153.0,17.0343017578125,32632,,,,787a4a1d702fb70aaec64425d52bbc3ace541f76,2.487782530195091,53.757912657797156
A2,hamburg,954,2026-08-21T16:37:28.460004,onthefly,aggregation,medium,hot,10.0,dem,52.169785,67.016501,121.28376698493958,1.1273226737976074,123.52035188674927,,4.0,78.0,17.0343017578125,32632,,,,787a4a1d702fb70aaec64425d52bbc3ace541f76,2.487782530195091,53.757912657797156
A2,hamburg,955,2026-08-21T16:42:20.098348,local_preprocessing,aggregation,medium,cold,10.0,dem,56.781723,108.217085,168.21872472763062,1.6017897129058838,173.35406923294067,2.090940237045288,4.0,162.0,17.96558380126953,32632,gtiff,cog,bilinear,787a4a1d702fb70aaec64425d52bbc3ace541f76,1.9344836174649258,58.458646103303884
A2,hamburg,956,2026-08-21T16:46:19.936361,local_preprocessing,aggregation,medium,hot,10.0,dem,57.118294,61.841851,121.60797691345215,1.1612441539764404,126.41854691505432,2.1607797145843506,9.0,5400.0,17.96558380126953,32632,gtiff,cog,bilinear,787a4a1d702fb70aaec64425d52bbc3ace541f76,1.9344836174649258,58.458646103303884
A2,hamburg,957,2026-08-21T16:50:19.999136,local_preprocessing,aggregation,medium,hot,10.0,dem,56.788476,56.655012,115.46383571624756,2.506293535232544,121.33132243156433,2.113959550857544,4.0,117.0,17.96558380126953,32632,gtiff,cog,bilinear,787a4a1d702fb70aaec64425d52bbc3ace541f76,1.9344836174649258,58.458646103303884
A2,hamburg,958,2026-08-21T16:54:26.349832,local_reference,focal,medium,cold,10.0,dem,,,,,240.72263860702515,240.72263860702515,,,,,,,bilinear,787a4a1d702fb70aaec64425d52bbc3ace541f76,,
A2,hamburg,959,2026-08-21T16:57:44.436721,onthefly,focal,medium,cold,10.0,dem,41.370058,134.087618,177.97383499145508,17.447274684906006,196.58519172668457,,4.0,162.0,17.03815460205078,32632,,,,787a4a1d702fb70aaec64425d52bbc3ace541f76,0.5809828408240607,2.002893403551201
A2,hamburg,960,2026-08-21T17:00:50.245384,onthefly,focal,medium,hot,10.0,dem,20.684393,141.888631,170.60102319717407,12.181838512420654,184.06567287445068,,9.0,5400.0,17.03815460205078,32632,,,,787a4a1d702fb70aaec64425d52bbc3ace541f76,0.5809828408240607,2.002893403551201
A2,hamburg,961,2026-08-21T17:03:38.319410,onthefly,focal,medium,hot,10.0,dem,20.795184,118.702605,146.82311177253723,18.75567102432251,166.6757824420929,,4.0,108.0,17.03815460205078,32632,,,,787a4a1d702fb70aaec64425d52bbc3ace541f76,0.5809828408240607,2.002893403551201
A2,hamburg,962,2026-08-21T17:08:47.654001,local_preprocessing,focal,medium,cold,10.0,dem,36.812065,139.066924,178.9372386932373,16.768440008163452,199.10310411453247,2.192317247390747,4.0,90.0,18.437694549560547,32632,gtiff,cog,bilinear,787a4a1d702fb70aaec64425d52bbc3ace541f76,0.09106722773538387,6.137377601928217
A2,hamburg,963,2026-08-21T17:13:36.394500,local_preprocessing,focal,medium,hot,10.0,dem,52.006883,123.744774,182.91089367866516,13.877032995223999,200.21766424179077,2.1790409088134766,4.0,78.0,18.437694549560547,32632,gtiff,cog,bilinear,787a4a1d702fb70aaec64425d52bbc3ace541f76,0.09106722773538387,6.137377601928217
A2,hamburg,964,2026-08-21T17:18:35.596566,local_preprocessing,focal,medium,hot,10.0,dem,41.272238,128.538948,177.5968074798584,15.441635131835938,196.4757149219513,2.116286277770996,4.0,276.0,18.437694549560547,32632,gtiff,cog,bilinear,787a4a1d702fb70aaec64425d52bbc3ace541f76,0.09106722773538387,6.137377601928217
A2,hamburg,965,2026-08-21T17:23:17.963832,local_reference,resample,medium,cold,10.0,dem,,,,,268.99028968811035,268.99028968811035,,,,,,,bilinear,787a4a1d702fb70aaec64425d52bbc3ace541f76,,
A2,hamburg,966,2026-08-21T17:25:30.916524,onthefly,resample,medium,cold,10.0,dem,51.652885,67.035457,120.48457098007202,8.983043432235718,131.00834608078003,,4.0,117.0,17.0343017578125,32632,,,,787a4a1d702fb70aaec64425d52bbc3ace541f76,0.7992370127010991,1.22136437691031
A2,hamburg,967,2026-08-21T17:27:28.539692,onthefly,resample,medium,hot,10.0,dem,41.49557,59.34218,102.63815641403198,11.856529951095581,115.82169222831726,,4.0,48.0,17.0343017578125,32632,,,,787a4a1d702fb70aaec64425d52bbc3ace541f76,0.7992370127010991,1.22136437691031
A2,hamburg,968,2026-08-21T17:29:26.729760,onthefly,resample,medium,hot,10.0,dem,46.529797,56.812272,105.99612832069397,9.678770303726196,116.9965431690216,,4.0,108.0,17.0343017578125,32632,,,,787a4a1d702fb70aaec64425d52bbc3ace541f76,0.7992370127010991,1.22136437691031
A2,hamburg,969,2026-08-21T17:33:30.616748,local_preprocessing,resample,medium,cold,10.0,dem,46.727511,61.743949,110.92480826377869,14.94910979270935,129.19111895561218,2.147636651992798,4.0,108.0,17.96558380126953,32632,gtiff,cog,bilinear,787a4a1d702fb70aaec64425d52bbc3ace541f76,0.37541182818816093,0.5832683614680513
A2,hamburg,970,2026-08-21T17:37:33.672235,local_preprocessing,resample,medium,hot,10.0,dem,46.2296,72.372536,126.43757009506226,8.446341753005981,138.07999730110168,2.094970941543579,4.0,48.0,17.96558380126953,32632,gtiff,cog,bilinear,787a4a1d702fb70aaec64425d52bbc3ace541f76,0.37541182818816093,0.5832683614680513
